sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19186-5563STDY7800272,WA-0136,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19187-5563STDY7800273,WA-0137,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19188-5563STDY7800274,WA-0138,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19190-5563STDY7800276,WA-0140,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19191-5563STDY7800277,WA-0141,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19192-5563STDY7800278,WA-0142,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19193-5563STDY7800279,WA-0143,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19194-5563STDY7800280,WA-0144,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19196-5563STDY7800282,WA-0146,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19197-5563STDY7800283,WA-0147,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19198-5563STDY7800284,WA-0148,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19199-5563STDY7800285,WA-0149,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19200-5563STDY7800286,WA-0150,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19201-5563STDY7800287,WA-0151,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19202-5563STDY7800288,WA-0152,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19203-5563STDY7800289,WA-0153,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19204-5563STDY7800290,WA-0154,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19205-5563STDY7800291,WA-0155,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19206-5563STDY7800292,WA-0156,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19207-5563STDY7800293,WA-0157,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19208-5563STDY7800294,WA-0158,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19209-5563STDY7800295,WA-0159,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19210-5563STDY7800296,WA-0160,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19212-5563STDY7800298,WA-0162,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19214-5563STDY7800300,WA-0164,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19215-5563STDY7800301,WA-0165,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19216-5563STDY7800302,WA-0166,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19217-5563STDY7800303,WA-0167,Alexander Egyir-Yawson,Ghana,Madina,2017,12,5.683,-0.166,F
VBS19218-5563STDY7800304,WA-0168,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19219-5563STDY7800305,WA-0169,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19221-5563STDY7800307,WA-0171,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19224-5563STDY7800310,WA-0174,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19225-5563STDY7800311,WA-0175,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19226-5563STDY7800312,WA-0176,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19229-5563STDY7800315,WA-0179,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19236-5563STDY7800322,WA-0186,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19237-5563STDY7800323,WA-0187,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
