sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19254-5563STDY7800342,0.024,0.002,gamb_colu,gambiae
VBS19257-5563STDY7800345,0.023,0.002,gamb_colu,gambiae
VBS19261-5563STDY7800349,0.029,0.002,gamb_colu,gambiae
VBS19262-5563STDY7800350,0.024,0.002,gamb_colu,gambiae
VBS19265-5563STDY7800353,0.026,0.002,gamb_colu,gambiae
VBS19268-5563STDY7800356,0.029,0.003,gamb_colu,gambiae
VBS19269-5563STDY7800357,0.027,0.002,gamb_colu,gambiae
VBS19270-5563STDY7800358,0.025,0.002,gamb_colu,gambiae
VBS19271-5563STDY7800359,0.030,0.002,gamb_colu,gambiae
VBS19272-5563STDY7800360,0.042,0.002,gamb_colu,gambiae
VBS19273-5563STDY7800361,0.026,0.002,gamb_colu,gambiae
VBS19277-5563STDY7800365,0.023,0.002,gamb_colu,gambiae
VBS19278-5563STDY7800366,0.026,0.002,gamb_colu,gambiae
VBS19279-5563STDY7800367,0.022,0.002,gamb_colu,gambiae
VBS19284-5563STDY7800372,0.034,0.002,gamb_colu,gambiae
VBS19285-5563STDY7800373,0.025,0.002,gamb_colu,gambiae
VBS19286-5563STDY7800374,0.022,0.002,gamb_colu,gambiae
VBS19287-5563STDY7800375,0.025,0.002,gamb_colu,gambiae
VBS19289-5563STDY7800377,0.020,0.002,gamb_colu,gambiae
VBS19292-5563STDY7800380,0.015,0.002,gamb_colu,gambiae
VBS19293-5563STDY7800381,0.020,0.002,gamb_colu,gambiae
VBS19294-5563STDY7800382,0.023,0.002,gamb_colu,gambiae
VBS19295-5563STDY7800383,0.035,0.002,gamb_colu,gambiae
VBS19296-5563STDY7800384,0.021,0.002,gamb_colu,gambiae
VBS19297-5563STDY7800385,0.025,0.002,gamb_colu,gambiae
VBS19299-5563STDY7800387,0.024,0.002,gamb_colu,gambiae
VBS19301-5563STDY7800389,0.020,0.002,gamb_colu,gambiae
VBS19302-5563STDY7800390,0.031,0.002,gamb_colu,gambiae
VBS19303-5563STDY7800391,0.022,0.003,gamb_colu,gambiae
VBS19305-5563STDY7800393,0.018,0.002,gamb_colu,gambiae
VBS19306-5563STDY7800394,0.027,0.002,gamb_colu,gambiae
VBS19307-5563STDY7800395,0.024,0.002,gamb_colu,gambiae
VBS19308-5563STDY7800396,0.028,0.002,gamb_colu,gambiae
VBS19309-5563STDY7800397,0.025,0.002,gamb_colu,gambiae
VBS19310-5563STDY7800398,0.018,0.002,gamb_colu,gambiae
VBS19311-5563STDY7800399,0.019,0.002,gamb_colu,gambiae
VBS19312-5563STDY7800400,0.031,0.002,gamb_colu,gambiae
VBS19316-5563STDY7800404,0.023,0.002,gamb_colu,gambiae
VBS19319-5563STDY7800407,0.022,0.002,gamb_colu,gambiae
VBS19320-5563STDY7800408,0.024,0.002,gamb_colu,gambiae
VBS19324-5563STDY7800411,0.029,0.002,gamb_colu,gambiae
VBS19332-5563STDY7800419,0.021,0.002,gamb_colu,gambiae
VBS19333-5563STDY7800420,0.028,0.002,gamb_colu,gambiae
VBS19337-5563STDY7800425,0.029,0.002,gamb_colu,gambiae
VBS19338-5563STDY7800426,0.023,0.002,gamb_colu,gambiae
VBS19339-5563STDY7800427,0.033,0.002,gamb_colu,gambiae
VBS19340-5563STDY7800428,0.024,0.002,gamb_colu,gambiae
VBS19341-5563STDY7800429,0.029,0.002,gamb_colu,gambiae
VBS19342-5563STDY7800430,0.027,0.002,gamb_colu,gambiae
VBS19344-5563STDY7800432,0.022,0.002,gamb_colu,gambiae
VBS19345-5563STDY7800433,0.027,0.002,gamb_colu,gambiae
VBS19346-5563STDY7800434,0.030,0.002,gamb_colu,gambiae
VBS19347-5563STDY7800435,0.030,0.002,gamb_colu,gambiae
VBS19348-5563STDY7800436,0.021,0.002,gamb_colu,gambiae
VBS19349-5563STDY7800437,0.027,0.002,gamb_colu,gambiae
VBS19356-5563STDY7800443,0.025,0.002,gamb_colu,gambiae
VBS19359-5563STDY7800446,0.021,0.002,gamb_colu,gambiae
VBS19360-5563STDY7800447,0.032,0.002,gamb_colu,gambiae
