sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0086	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	8	FALSE	ERS3041357	ERR3290259,ERR3290295,ERR3311446
WA-0087	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	8	TRUE	ERS3041358	ERR3282794,ERR3282830,ERR3282866
WA-0088	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041359	ERR3290335,ERR3290371,ERR3290407
WA-0089	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041360	ERR3311516,ERR3311552,ERR3311588
WA-0090	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	8	TRUE	ERS3041361	ERR3312414,ERR3312450,ERR3312486
WA-0091	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	9	FALSE	ERS3041362	ERR3289771,ERR3289807,ERR3289843
WA-0092	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041363	ERR3259497,ERR3259533,ERR3259569
WA-0093	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	7	TRUE	ERS3041364	ERR3269930,ERR3269966,ERR3311928
WA-0094	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041365	ERR3270003,ERR3270039,ERR3270075
WA-0095	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041366	ERR3311718,ERR3311754,ERR3311790
WA-0099	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041370	ERR3282201,ERR3282237,ERR3282273
WA-0100	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	10	TRUE	ERS3041371	ERR3282288,ERR3282324,ERR3282360
WA-0102	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041373	ERR3312392,ERR3312428,ERR3312464
WA-0104	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	11	FALSE	ERS3041375	ERR3270111,ERR3270147,ERR3270291
WA-0105	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	9	TRUE	ERS3041376	ERR3290106,ERR3290142,ERR3290178
WA-0106	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041377	ERR3282304,ERR3282340,ERR3282376
WA-0107	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041378	ERR3270169,ERR3270205,ERR3270241
WA-0108	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	10	FALSE	ERS3041379	ERR3290081,ERR3290117,ERR3290153
WA-0109	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041380	ERR3270017,ERR3270053,ERR3270089
WA-0110	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041381	ERR3270192,ERR3270228,ERR3270264
