SANGER PLATE ID	WELL	SANGER SAMPLE ID	SUPPLIER SAMPLE NAME
DN554823P	A5	5563STDY7800360	VBS19272
DN554823P	B5	5563STDY7800361	VBS19273
DN554823P	C5	5563STDY7800362	VBS19274
DN554823P	D5	5563STDY7800363	VBS19275
DN554823P	E5	5563STDY7800364	VBS19276
DN554823P	F5	5563STDY7800365	VBS19277
DN554823P	G5	5563STDY7800366	VBS19278
DN554823P	H5	5563STDY7800367	VBS19279
DN554823P	A6	5563STDY7800368	VBS19280
DN554823P	B6	5563STDY7800369	VBS19281
DN554823P	C6	5563STDY7800370	VBS19282
DN554823P	D6	5563STDY7800371	VBS19283
DN554823P	E6	5563STDY7800372	VBS19284
DN554823P	F6	5563STDY7800373	VBS19285
DN554823P	G6	5563STDY7800374	VBS19286
DN554823P	H6	5563STDY7800375	VBS19287
DN554823P	A7	5563STDY7800376	VBS19288
DN554823P	B7	5563STDY7800377	VBS19289
DN554823P	C7	5563STDY7800378	VBS19290
DN554823P	D7	5563STDY7800379	VBS19291
DN554823P	E7	5563STDY7800380	VBS19292
DN554823P	F7	5563STDY7800381	VBS19293
DN554823P	G7	5563STDY7800382	VBS19294
DN554823P	H7	5563STDY7800383	VBS19295
DN554823P	A8	5563STDY7800384	VBS19296
DN554823P	B8	5563STDY7800385	VBS19297
DN554823P	C8	5563STDY7800386	VBS19298
DN554823P	D8	5563STDY7800387	VBS19299
DN554823P	E8	5563STDY7800388	VBS19300
DN554823P	F8	5563STDY7800389	VBS19301
DN554823P	G8	5563STDY7800390	VBS19302
DN554823P	H8	5563STDY7800391	VBS19303
DN554823P	A9	5563STDY7800392	VBS19304
DN554823P	B9	5563STDY7800393	VBS19305
DN554823P	C9	5563STDY7800394	VBS19306
DN554823P	D9	5563STDY7800395	VBS19307
DN554823P	E9	5563STDY7800396	VBS19308
DN554823P	F9	5563STDY7800397	VBS19309
DN554823P	G9	5563STDY7800398	VBS19310
DN554823P	H9	5563STDY7800399	VBS19311
DN554823P	A10	5563STDY7800400	VBS19312
DN554823P	B10	5563STDY7800401	VBS19313
DN554823P	C10	5563STDY7800402	VBS19314
DN554823P	D10	5563STDY7800403	VBS19315
DN554823P	E10	5563STDY7800404	VBS19316
DN554823P	F10	5563STDY7800405	VBS19317
DN554823P	G10	5563STDY7800406	VBS19318
DN554823P	H10	5563STDY7800407	VBS19319
DN554823P	A11	5563STDY7800408	VBS19320
DN554823P	B11	5563STDY7800409	VBS19322
DN554823P	C11	5563STDY7800410	VBS19323
DN554823P	D11	5563STDY7800411	VBS19324
DN554823P	E11	5563STDY7800412	VBS19325
DN554823P	F11	5563STDY7800413	VBS19326
DN554823P	G11	5563STDY7800414	VBS19327
DN554823P	H11	5563STDY7800415	VBS19328
DN554823P	A12	5563STDY7800416	VBS19329
DN554823P	B12	5563STDY7800417	VBS19330
DN554823P	C12	5563STDY7800418	VBS19331
DN554823P	D12	5563STDY7800419	VBS19332
DN554823P	E12	5563STDY7800420	VBS19333
DN554823P	F12	5563STDY7800421	VBS19334
DN554823P	G12	5563STDY7800422	
DN554823P	H12	5563STDY7800423	
DN554824Q	A1	5563STDY7800424	VBS19336
DN554824Q	B1	5563STDY7800425	VBS19337
DN554824Q	C1	5563STDY7800426	VBS19338
DN554824Q	D1	5563STDY7800427	VBS19339
DN554824Q	E1	5563STDY7800428	VBS19340
DN554824Q	F1	5563STDY7800429	VBS19341
DN554824Q	G1	5563STDY7800430	VBS19342
DN554824Q	H1	5563STDY7800431	VBS19343
DN554824Q	A2	5563STDY7800432	VBS19344
DN554824Q	B2	5563STDY7800433	VBS19345
DN554824Q	C2	5563STDY7800434	VBS19346
DN554824Q	D2	5563STDY7800435	VBS19347
DN554824Q	E2	5563STDY7800436	VBS19348
DN554824Q	F2	5563STDY7800437	VBS19349
DN554824Q	G2	5563STDY7800438	VBS19350
DN554824Q	H2	5563STDY7800439	VBS19351
DN554824Q	A3	5563STDY7800440	VBS19353
DN554824Q	B3	5563STDY7800441	VBS19354
DN554824Q	C3	5563STDY7800442	VBS19355
DN554824Q	D3	5563STDY7800443	VBS19356
DN554824Q	E3	5563STDY7800444	VBS19357
DN554824Q	F3	5563STDY7800445	VBS19358
DN554824Q	G3	5563STDY7800446	VBS19359
DN554824Q	H3	5563STDY7800447	VBS19360
DN554824Q	A4	5563STDY7800448	VBS19361
DN554824Q	B4	5563STDY7800449	VBS19362
DN554824Q	C4	5563STDY7800450	VBS19363
DN554824Q	D4	5563STDY7800451	VBS19364
DN554824Q	E4	5563STDY7800452	VBS19365
DN554824Q	F4	5563STDY7800453	VBS19366
DN554824Q	G4	5563STDY7800454	VBS19367
DN554824Q	H4	5563STDY7800455	VBS19368
DN554824Q	A5	5563STDY7800456	VBS19369
DN554824Q	B5	5563STDY7800457	VBS19370
DN554824Q	C5	5563STDY7800458	VBS19371
DN554824Q	D5	5563STDY7800459	VBS19372
DN554824Q	E5	5563STDY7800460	VBS19373
DN554824Q	F5	5563STDY7800461	VBS19374
DN554824Q	G5	5563STDY7800462	VBS19376
DN554824Q	H5	5563STDY7800463	VBS19377
DN554824Q	A6	5563STDY7800464	VBS19378
DN554824Q	B6	5563STDY7800465	VBS19379
DN554824Q	C6	5563STDY7800466	VBS19380
DN554824Q	D6	5563STDY7800467	VBS19381
DN554824Q	E6	5563STDY7800468	VBS19382
DN554824Q	F6	5563STDY7800469	VBS19383
DN554824Q	G6	5563STDY7800470	VBS19384
DN554824Q	H6	5563STDY7800471	VBS19385
DN554824Q	A7	5563STDY7800472	VBS19386
DN554824Q	B7	5563STDY7800473	VBS19387
DN554824Q	C7	5563STDY7800474	VBS19388
DN554824Q	D7	5563STDY7800475	VBS19389
DN554824Q	E7	5563STDY7800476	VBS19391
DN554824Q	F7	5563STDY7800477	VBS19392
DN554824Q	G7	5563STDY7800478	VBS19393
DN554824Q	H7	5563STDY7800479	VBS19394
DN554824Q	A8	5563STDY7800480	VBS19395
DN554824Q	B8	5563STDY7800481	VBS19396
DN554824Q	C8	5563STDY7800482	VBS19397
DN554824Q	D8	5563STDY7800483	VBS19398
DN554824Q	E8	5563STDY7800484	VBS19399
DN554824Q	F8	5563STDY7800485	VBS19400
DN554824Q	G8	5563STDY7800486	VBS19401
DN554824Q	H8	5563STDY7800487	VBS19402
DN554824Q	A9	5563STDY7800488	VBS19403
DN554824Q	B9	5563STDY7800489	VBS19404
DN554824Q	C9	5563STDY7800490	VBS19405
DN554824Q	D9	5563STDY7800491	VBS19406
DN554824Q	E9	5563STDY7800492	VBS19407
DN554824Q	F9	5563STDY7800493	VBS19408
DN554824Q	G9	5563STDY7800494	VBS19409
DN554824Q	H9	5563STDY7800495	VBS19410
DN554824Q	A10	5563STDY7800496	VBS19411
DN554824Q	B10	5563STDY7800497	VBS19412
DN554824Q	C10	5563STDY7800498	VBS19413
DN554824Q	D10	5563STDY7800499	VBS19414
DN554824Q	E10	5563STDY7800500	VBS19415
DN554824Q	F10	5563STDY7800501	VBS19416
DN554824Q	G10	5563STDY7800502	VBS19417
DN554824Q	H10	5563STDY7800503	VBS19418
DN554824Q	A11	5563STDY7800504	VBS19419
DN554824Q	B11	5563STDY7800505	VBS19420
DN554824Q	C11	5563STDY7800506	VBS19421
DN554824Q	D11	5563STDY7800507	VBS19422
DN554824Q	E11	5563STDY7800508	VBS19423
DN554824Q	F11	5563STDY7800509	VBS19424
DN554824Q	G11	5563STDY7800510	VBS19425
DN554824Q	H11	5563STDY7800511	VBS19426
DN554824Q	A12	5563STDY7800512	VBS19427
DN554824Q	B12	5563STDY7800513	VBS19428
DN554824Q	C12	5563STDY7800514	VBS19429
DN554824Q	D12	5563STDY7800515	VBS19430
DN554824Q	E12	5563STDY7800516	VBS19431
DN554824Q	F12	5563STDY7800517	VBS19432
DN554824Q	G12	5563STDY7800518	
DN554824Q	H12	5563STDY7800519	
DN554825R	A1	5563STDY7800520	VBS19433
DN554825R	B1	5563STDY7800521	VBS19434
DN554825R	C1	5563STDY7800522	VBS19435
DN554825R	D1	5563STDY7800523	VBS19436
DN554825R	E1	5563STDY7800524	VBS19437
DN554825R	F1	5563STDY7800525	VBS19438
DN554825R	G1	5563STDY7800526	VBS19439
DN554825R	H1	5563STDY7800527	VBS19440
DN554825R	A2	5563STDY7800528	VBS19441
DN554825R	B2	5563STDY7800529	VBS19442
DN554825R	C2	5563STDY7800530	VBS19443
DN554825R	D2	5563STDY7800531	VBS19444
DN554825R	E2	5563STDY7800532	VBS19445
DN554825R	F2	5563STDY7800533	VBS19446
DN554825R	G2	5563STDY7800534	VBS19447
DN554825R	H2	5563STDY7800535	VBS19448
DN554825R	A3	5563STDY7800536	VBS19449
DN554825R	B3	5563STDY7800537	VBS19450
DN554825R	C3	5563STDY7800538	VBS19451
DN554825R	D3	5563STDY7800539	VBS19452
DN554825R	E3	5563STDY7800540	VBS19453
DN554825R	F3	5563STDY7800541	VBS19454
DN554825R	G3	5563STDY7800542	VBS19455
DN554825R	H3	5563STDY7800543	VBS19456
DN554825R	A4	5563STDY7800544	VBS19457
DN554825R	B4	5563STDY7800545	VBS19458
DN554825R	C4	5563STDY7800546	VBS19459
DN554825R	D4	5563STDY7800547	VBS19460
DN554825R	E4	5563STDY7800548	VBS19461
DN554825R	F4	5563STDY7800549	VBS19462
DN554825R	G4	5563STDY7800550	VBS19463
DN554825R	H4	5563STDY7800551	VBS19464
DN554825R	A5	5563STDY7800552	VBS19465
DN554825R	B5	5563STDY7800553	VBS19466
DN554825R	C5	5563STDY7800554	VBS19467
DN554825R	D5	5563STDY7800555	VBS19468
DN554825R	E5	5563STDY7800556	VBS19469
DN554825R	F5	5563STDY7800557	VBS19470
DN554825R	G5	5563STDY7800558	VBS19471
DN554825R	H5	5563STDY7800559	VBS19472
DN554825R	A6	5563STDY7800560	VBS19473
DN554825R	B6	5563STDY7800561	VBS19474
DN554825R	C6	5563STDY7800562	VBS19475
DN554825R	D6	5563STDY7800563	VBS19476
DN554825R	E6	5563STDY7800564	VBS19477
DN554825R	F6	5563STDY7800565	VBS19478
DN554825R	G6	5563STDY7800566	VBS19479
DN554825R	H6	5563STDY7800567	VBS19480
DN554825R	A7	5563STDY7800568	VBS19481
DN554825R	B7	5563STDY7800569	VBS19482
DN554825R	C7	5563STDY7800570	VBS19483
DN554825R	D7	5563STDY7800571	VBS19484
DN554825R	E7	5563STDY7800572	VBS19485
DN554825R	F7	5563STDY7800573	VBS19486
DN554825R	G7	5563STDY7800574	VBS19487
DN554825R	H7	5563STDY7800575	VBS19488
DN554825R	A8	5563STDY7800576	VBS19489
DN554825R	B8	5563STDY7800577	VBS19490
DN554825R	C8	5563STDY7800578	VBS19491
DN554825R	D8	5563STDY7800579	VBS19492
DN554825R	E8	5563STDY7800580	VBS19494
DN554825R	F8	5563STDY7800581	VBS19495
DN554825R	G8	5563STDY7800582	VBS19496
DN554825R	H8	5563STDY7800583	VBS19497
DN554825R	A9	5563STDY7800584	VBS19499
DN554825R	B9	5563STDY7800585	VBS19500
DN554825R	C9	5563STDY7800586	VBS19503
DN554825R	D9	5563STDY7800587	VBS19504
DN554825R	E9	5563STDY7800588	VBS19505
DN554825R	F9	5563STDY7800589	VBS19506
DN554825R	G9	5563STDY7800590	VBS19507
DN554825R	H9	5563STDY7800591	VBS19509
DN554825R	A10	5563STDY7800592	VBS19510
DN554825R	B10	5563STDY7800593	VBS19512
DN554825R	C10	5563STDY7800594	VBS19513
DN554825R	D10	5563STDY7800595	VBS19514
DN554825R	E10	5563STDY7800596	VBS19515
DN554825R	F10	5563STDY7800597	VBS19516
DN554825R	G10	5563STDY7800598	VBS19517
DN554825R	H10	5563STDY7800599	VBS19518
DN554825R	A11	5563STDY7800600	VBS19519
DN554825R	B11	5563STDY7800601	VBS19520
DN554825R	C11	5563STDY7800602	VBS19521
DN554825R	D11	5563STDY7800603	VBS19523
DN554825R	E11	5563STDY7800604	VBS19526
DN554825R	F11	5563STDY7800605	VBS19527
DN554825R	G11	5563STDY7800606	VBS19528
DN554825R	H11	5563STDY7800607	VBS19529
DN554825R	A12	5563STDY7800608	VBS19530
DN554825R	B12	5563STDY7800609	VBS19531
DN554825R	C12	5563STDY7800610	VBS19532
DN554825R	D12	5563STDY7800611	VBS19533
DN554825R	E12	5563STDY7800612	VBS19534
DN554825R	F12	5563STDY7800613	VBS19535
DN554825R	G12	5563STDY7800614	
DN554825R	H12	5563STDY7800615	
DN554826S	A1	5563STDY7800616	VBS19536
DN554826S	B1	5563STDY7800617	VBS19537
DN554826S	C1	5563STDY7800618	VBS19538
DN554826S	D1	5563STDY7800619	VBS19539
DN554826S	E1	5563STDY7800620	VBS19540
DN554826S	F1	5563STDY7800621	VBS19541
DN554826S	G1	5563STDY7800622	VBS19542
DN554826S	H1	5563STDY7800623	VBS19543
DN554826S	A2	5563STDY7800624	VBS19544
DN554826S	B2	5563STDY7800625	VBS19545
DN554826S	C2	5563STDY7800626	VBS19546
DN554826S	D2	5563STDY7800627	VBS19547
DN554826S	E2	5563STDY7800628	VBS19548
DN554826S	F2	5563STDY7800629	VBS19549
DN554826S	G2	5563STDY7800630	VBS19550
DN554826S	H2	5563STDY7800631	VBS19551
DN554826S	A3	5563STDY7800632	VBS19552
DN554826S	B3	5563STDY7800633	VBS19553
DN554826S	C3	5563STDY7800634	VBS19554
DN554826S	D3	5563STDY7800635	VBS19555
DN554826S	E3	5563STDY7800636	VBS19556
DN554826S	F3	5563STDY7800637	VBS19557
DN554826S	G3	5563STDY7800638	VBS19558
DN554826S	H3	5563STDY7800639	VBS19560
DN554826S	A4	5563STDY7800640	VBS19561
DN554826S	B4	5563STDY7800641	VBS19563
DN554826S	C4	5563STDY7800642	VBS19564
DN554826S	D4	5563STDY7800643	VBS19565
DN554826S	E4	5563STDY7800644	VBS19566
DN554826S	F4	5563STDY7800645	VBS19567
DN554826S	G4	5563STDY7800646	VBS19569
DN554826S	H4	5563STDY7800647	VBS19570
DN554826S	A5	5563STDY7800648	VBS19571
DN554826S	B5	5563STDY7800649	VBS19572
DN554826S	C5	5563STDY7800650	VBS19573
DN554826S	D5	5563STDY7800651	VBS19574
DN554826S	E5	5563STDY7800652	VBS19575
DN554826S	F5	5563STDY7800653	VBS19576
DN554826S	G5	5563STDY7800654	VBS19577
DN554826S	H5	5563STDY7800655	VBS19578
DN554826S	A6	5563STDY7800656	VBS19579
DN554826S	B6	5563STDY7800657	VBS19580
DN554826S	C6	5563STDY7800658	VBS19581
DN554826S	D6	5563STDY7800659	VBS19582
DN554826S	E6	5563STDY7800660	VBS19583
DN554826S	F6	5563STDY7800661	VBS19584
DN554826S	G6	5563STDY7800662	VBS19585
DN554826S	H6	5563STDY7800663	VBS19587
DN554826S	A7	5563STDY7800664	VBS19588
DN554826S	B7	5563STDY7800665	VBS19589
DN554826S	C7	5563STDY7800666	VBS19590
DN554826S	D7	5563STDY7800667	VBS19591
DN554826S	E7	5563STDY7800668	VBS19592
DN554826S	F7	5563STDY7800669	VBS19593
DN554826S	G7	5563STDY7800670	VBS19594
DN554826S	H7	5563STDY7800671	VBS19595
DN554826S	A8	5563STDY7800672	VBS19596
DN554826S	B8	5563STDY7800673	VBS19597
DN554826S	C8	5563STDY7800674	VBS19598
DN554826S	D8	5563STDY7800675	VBS19599
DN554826S	E8	5563STDY7800676	VBS19600
DN554826S	F8	5563STDY7800677	VBS19601
DN554826S	G8	5563STDY7800678	VBS19602
DN554826S	H8	5563STDY7800679	VBS19603
DN554826S	A9	5563STDY7800680	VBS19604
DN554826S	B9	5563STDY7800681	VBS19605
DN554826S	C9	5563STDY7800682	VBS19606
DN554826S	D9	5563STDY7800683	VBS19607
DN554826S	E9	5563STDY7800684	VBS19608
DN554826S	F9	5563STDY7800685	VBS19609
DN554826S	G9	5563STDY7800686	VBS19610
DN554826S	H9	5563STDY7800687	VBS19611
DN554826S	A10	5563STDY7800688	VBS19612
DN554826S	B10	5563STDY7800689	VBS19613
DN554826S	C10	5563STDY7800690	VBS19614
DN554826S	D10	5563STDY7800691	VBS19615
DN554826S	E10	5563STDY7800692	VBS19616
DN554826S	F10	5563STDY7800693	VBS19617
DN554826S	G10	5563STDY7800694	VBS19618
DN554826S	H10	5563STDY7800695	VBS19619
DN554826S	A11	5563STDY7800696	VBS19620
DN554826S	B11	5563STDY7800697	VBS19621
