specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0110	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0111	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0112	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0113	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0114	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0115	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0116	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0117	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0118	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0119	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0120	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0121	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0122	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0123	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0124	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0125	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0126	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0127	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0128	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0129	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0130	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0131	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0132	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0133	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0134	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0135	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0136	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0137	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0138	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0139	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0140	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0141	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0142	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0143	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0144	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0145	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0146	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0147	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0148	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
