sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS20133-5568STDY7801399,WA-0783,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20134-5568STDY7801400,WA-0784,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20135-5568STDY7801401,WA-0785,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20136-5568STDY7801402,WA-0786,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20139-5568STDY7801405,WA-0789,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20140-5568STDY7801406,WA-0790,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20141-5568STDY7801407,WA-0791,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20142-5568STDY7801408,WA-0792,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20145-5568STDY7801409,WA-0795,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20146-5568STDY7801410,WA-0796,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20147-5568STDY7801411,WA-0797,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20148-5568STDY7801412,WA-0798,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20149-5568STDY7801413,WA-0799,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20150-5568STDY7801414,WA-0800,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20151-5568STDY7801415,WA-0801,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20152-5568STDY7801416,WA-0802,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20153-5568STDY7801417,WA-0803,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20154-5568STDY7801418,WA-0804,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20156-5568STDY7801419,WA-0806,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20158-5568STDY7801421,WA-0808,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20159-5568STDY7801422,WA-0809,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20161-5568STDY7801424,WA-0811,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20162-5568STDY7801425,WA-0812,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20164-5568STDY7801427,WA-0814,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20165-5568STDY7801428,WA-0815,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20166-5568STDY7801429,WA-0816,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20167-5568STDY7801430,WA-0817,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20168-5568STDY7801431,WA-0818,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20169-5568STDY7801432,WA-0819,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20170-5568STDY7801433,WA-0820,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20171-5568STDY7801434,WA-0821,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20172-5568STDY7801435,WA-0822,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20173-5568STDY7801436,WA-0823,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20174-5568STDY7801437,WA-0824,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20175-5568STDY7801438,WA-0825,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20176-5568STDY7801439,WA-0826,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20179-5568STDY7801442,WA-0829,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20180-5568STDY7801443,WA-0830,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20181-5568STDY7801444,WA-0831,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20182-5568STDY7801445,WA-0832,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20183-5568STDY7801446,WA-0833,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20184-5568STDY7801447,WA-0834,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20188-5568STDY7801448,WA-0838,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20190-5568STDY7801449,WA-0840,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20192-5568STDY7801450,WA-0842,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20194-5568STDY7801451,WA-0844,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20195-5568STDY7801452,WA-0845,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20197-5568STDY7801453,WA-0847,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20198-5568STDY7801454,WA-0848,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20199-5568STDY7801455,WA-0849,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20200-5568STDY7801456,WA-0850,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20201-5568STDY7801457,WA-0851,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20202-5568STDY7801458,WA-0852,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20203-5568STDY7801459,WA-0853,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20204-5568STDY7801460,WA-0854,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20205-5568STDY7801461,WA-0855,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20207-5568STDY7801463,WA-0857,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20208-5568STDY7801464,WA-0858,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20209-5568STDY7801465,WA-0859,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20210-5568STDY7801466,WA-0860,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20211-5568STDY7801467,WA-0861,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20213-5568STDY7801469,WA-0863,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20214-5568STDY7801470,WA-0864,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20215-5568STDY7801471,WA-0865,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20217-5568STDY7801472,WA-0867,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20218-5568STDY7801473,WA-0868,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20219-5568STDY7801474,WA-0869,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20220-5568STDY7801475,WA-0870,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20221-5568STDY7801476,WA-0871,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20222-5568STDY7801477,WA-0872,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20223-5568STDY7801480,WA-0873,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20224-5568STDY7801481,WA-0874,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20225-5568STDY7801482,WA-0875,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
VBS20227-5568STDY7801484,WA-0877,Luc Djogbenou,Togo,Baguida,2017,12,6.161,1.314,F
