sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS20199-5568STDY7801455,0.019,0.002,gamb_colu,gambiae
VBS20200-5568STDY7801456,0.078,0.002,gamb_colu,gambiae
VBS20201-5568STDY7801457,0.036,0.002,gamb_colu,gambiae
VBS20202-5568STDY7801458,0.033,0.002,gamb_colu,gambiae
VBS20203-5568STDY7801459,0.070,0.003,gamb_colu,gambiae
VBS20204-5568STDY7801460,0.048,0.002,gamb_colu,gambiae
VBS20205-5568STDY7801461,0.062,0.003,gamb_colu,gambiae
VBS20207-5568STDY7801463,0.026,0.002,gamb_colu,gambiae
VBS20208-5568STDY7801464,0.034,0.002,gamb_colu,gambiae
VBS20209-5568STDY7801465,0.018,0.002,gamb_colu,gambiae
VBS20210-5568STDY7801466,0.020,0.002,gamb_colu,gambiae
VBS20211-5568STDY7801467,0.025,0.002,gamb_colu,gambiae
VBS20213-5568STDY7801469,0.025,0.002,gamb_colu,gambiae
VBS20214-5568STDY7801470,0.029,0.002,gamb_colu,gambiae
VBS20215-5568STDY7801471,0.025,0.002,gamb_colu,gambiae
VBS20217-5568STDY7801472,0.029,0.002,gamb_colu,gambiae
VBS20218-5568STDY7801473,0.024,0.002,gamb_colu,gambiae
VBS20219-5568STDY7801474,0.037,0.002,gamb_colu,gambiae
VBS20220-5568STDY7801475,0.017,0.002,gamb_colu,gambiae
VBS20221-5568STDY7801476,0.022,0.002,gamb_colu,gambiae
VBS20222-5568STDY7801477,0.033,0.002,gamb_colu,gambiae
VBS20223-5568STDY7801480,0.038,0.002,gamb_colu,gambiae
VBS20224-5568STDY7801481,0.074,0.003,gamb_colu,gambiae
VBS20225-5568STDY7801482,0.033,0.002,gamb_colu,gambiae
VBS20227-5568STDY7801484,0.021,0.003,gamb_colu,gambiae
