	sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	species_gambiae_coluzzii	aim_fraction_colu	species	insecticide	concentration	exposure_time	phenotype	plate
46	VBS19116-5563STDY7800200	WA-0066	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.019	gambiae	Delta	1.0	60	dead	WGS_PL1
47	VBS19121-5563STDY7800205	WA-0071	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.057	gambiae	Delta	1.0	60	dead	WGS_PL1
48	VBS19123-5563STDY7800207	WA-0073	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.021	gambiae	Delta	10.0	60	alive	WGS_PL2
49	VBS19124-5563STDY7800208	WA-0074	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.039	gambiae	Delta	10.0	60	alive	WGS_PL2
50	VBS19125-5563STDY7800209	WA-0075	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	10.0	60	alive	WGS_PL2
51	VBS19126-5563STDY7800210	WA-0076	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	10.0	60	alive	WGS_PL2
52	VBS19127-5563STDY7800211	WA-0077	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.039	gambiae	Delta	10.0	60	alive	WGS_PL2
53	VBS19129-5563STDY7800213	WA-0079	Alexander Egyir-Yawson	Ghana	Madina	2017	11	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	10.0	60	alive	WGS_PL2
54	VBS19131-5563STDY7800215	WA-0081	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.07	gambiae	Delta	10.0	60	alive	WGS_PL2
55	VBS19132-5563STDY7800216	WA-0082	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	10.0	60	alive	WGS_PL2
56	VBS19133-5563STDY7800217	WA-0083	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.071	gambiae	Delta	10.0	60	alive	WGS_PL2
57	VBS19134-5563STDY7800218	WA-0084	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	10.0	60	alive	WGS_PL2
58	VBS19135-5563STDY7800219	WA-0085	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.032	gambiae	Delta	10.0	60	alive	WGS_PL2
59	VBS19136-5563STDY7800220	WA-0086	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
60	VBS19137-5563STDY7800221	WA-0087	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.024	gambiae	Delta	10.0	60	alive	WGS_PL2
61	VBS19138-5563STDY7800222	WA-0088	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.071	gambiae	Delta	10.0	60	alive	WGS_PL2
62	VBS19139-5563STDY7800223	WA-0089	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.063	gambiae	Delta	10.0	60	alive	WGS_PL2
63	VBS19140-5563STDY7800224	WA-0090	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.056	gambiae	Delta	10.0	60	alive	WGS_PL2
64	VBS19141-5563STDY7800225	WA-0091	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.041	gambiae	Delta	10.0	60	alive	WGS_PL2
65	VBS19142-5563STDY7800226	WA-0092	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
66	VBS19143-5563STDY7800227	WA-0093	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.065	gambiae	Delta	10.0	60	alive	WGS_PL2
67	VBS19144-5563STDY7800228	WA-0094	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
